entityid,userid,cate1,cate2,cate3,ctime,actiontype,usertag1,usertag2,usertag3,label
150510,867409049561793,8512,95,null,1615587655079,KVtagclick,150510,null,null,1
86858,9f8f50d56398e3fcf3f34ddebf8300fc8748259a,8512,95,null,1615641977523,KVtagclick,24750,86858,5740,1
155623,865277048469694,8512,96,null,1615615597306,KVtagclick,155623,null,null,1
3752,26ab014b0d5c6355,8512,96,null,1615614167498,KVtagclick,3752,null,null,1
111687,8a2455bb37ac751e067c8ce798787253c4127bef,26510,156,null,1615586310680,KVtagclick,111687,null,null,1
69491,869093031053775,26509,234,null,1615393895889,KVtagclick,40527,24359,27590,1
5725,80cd247ee38cd1decf7b9bf55e95273debe8e0f6,8512,95,null,1615443378132,KVtagclick,5725,150482,null,1
155767,865741041894059,8512,168,null,1615474396046,KVtagclick,155767,null,null,1
150510,25d0dffce6c76754,8512,95,null,1615457487668,KVtagclick,150510,null,null,1
155684,860469045467798,8512,95,null,1615408161774,KVtagclick,155684,null,null,1
5725,bd05ec484dbbc834,8512,95,null,1615456919528,KVtagclick,5725,null,null,1
5900,d65051b54ee89969,8512,95,null,1615457912640,KVtagclick,5900,null,null,1
86858,866605042175157,8512,95,null,1615440368713,KVtagclick,86858,null,null,1
150484,866192045159736,8512,95,null,1615450768090,KVtagclick,150484,null,null,1
24750,129ba8a12f2263ab,8512,95,null,1615445043729,KVtagclick,24750,null,null,1
150482,80cd247ee38cd1decf7b9bf55e95273debe8e0f6,8512,95,null,1615443536898,KVtagclick,5725,150482,null,1
155679,635a395c4ec28b503e23b90ab9dc9d329a09b993,8512,95,null,1615477560948,KVtagclick,155679,null,null,1
150510,384d6e1d7ccd189f,8512,95,null,1615443574559,KVtagclick,150510,null,null,1
155799,862790051149410,8512,168,null,1615467657140,KVtagclick,155799,null,null,1
155098,868548036334463,26509,609,null,1615449854691,KVtagclick,155098,null,null,1
24881,2afcc6c95114a069,8512,8558,null,1615804447130,KVtagclick,24881,null,null,1
149255,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615813809850,KVtagclick,41157,41160,149255,1
26864,88f084114b6aac83,70124,246,null,1615810854911,KVtagclick,26864,null,null,1
149255,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615822626131,KVtagclick,41157,41160,149255,1
41160,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615813898011,KVtagclick,41157,41160,149255,1
149255,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615814049796,KVtagclick,41157,41160,149255,1
40248,864373041877099,143,145,29374,1615779834637,KVtagclick,40248,121540,null,1
41157,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615813907284,KVtagclick,41157,41160,149255,1
46552,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615813743790,KVtagclick,41157,41160,149255,1
79492,864854045765570,26508,37861,null,1615804095843,KVtagclick,79492,null,null,1
41157,a8308a785727f65bce1d96114a73cb26aa90a7c4,832,23004,null,1615813895431,KVtagclick,41157,41160,149255,1
27410,354177100112042,8512,102,579,1615804519890,KVtagclick,27410,null,null,1
41825,01897792764e98b6,8581,310,null,1615795442729,KVtagclick,41825,null,null,1
121540,864373041877099,8703,97,null,1615779361103,KVtagclick,40248,121540,null,1
90310,2a4742886a744fc2,70124,246,null,1615803853919,KVtagclick,90310,null,null,1
48532,4d395ff64098fb2a,26510,8444,null,1615805541893,KVtagclick,48532,null,null,1
150532,864357045356259,8512,95,null,1615461875241,KVtagclick,150532,null,null,1
5740,8a35ce10a1675f27,8512,95,null,1615455860920,KVtagclick,5740,null,null,1
5900,863486049660951,8512,95,null,1615448510551,KVtagclick,6131,45083,5900,1
4005,868627040000458,8512,96,null,1615449861492,KVtagclick,4005,null,null,1
106888,a00000a3325fe1,8512,203,null,1615423423227,KVtagclick,106888,null,null,1
5420,f03a9dffc3286d4520178e29cb2d453902cbcfeb,8512,95,null,1615446775417,KVtagclick,5420,null,null,1
155679,861334049030811,8512,95,null,1615470446913,KVtagclick,6131,155679,null,1
636,e108d6d9ba04d383,8512,96,null,1615436991380,KVtagclick,2299,636,null,1
155679,949240accbc23657,8512,95,null,1615476964150,KVtagclick,155679,24765,null,1
6131,7f78e10c67d420cedbe44bd4ff74462e189fa556,8512,95,null,1615463789781,KVtagclick,6131,6445,null,1
86858,865622049450153,8512,95,null,1615459137536,KVtagclick,86858,null,null,1
6131,861334049030811,8512,95,null,1615470434487,KVtagclick,6131,155679,null,1
150532,868695039723034,8512,95,null,1615417821850,KVtagclick,150532,null,null,1
150504,b2efe6aee53e41e6,8512,95,null,1615448156195,KVtagclick,150510,150504,null,1
5961,866042032265071,8512,95,null,1615417980637,KVtagclick,5961,null,null,1
6131,863486049660951,8512,95,null,1615449960281,KVtagclick,6131,45083,5900,1
150510,863066041771988,8512,95,null,1615473224157,KVtagclick,150510,null,null,1
2299,e108d6d9ba04d383,8512,96,null,1615437008478,KVtagclick,2299,636,null,1
24765,949240accbc23657,8512,95,null,1615476917573,KVtagclick,155679,24765,null,1
150510,b2efe6aee53e41e6,8512,95,null,1615448349871,KVtagclick,150510,150504,null,1
147176,caf4724d63bd9fda,8512,96,null,1615448076127,KVtagclick,147176,null,null,1
147176,0c57e6b84377c947,8512,96,null,1615408580653,KVtagclick,147176,null,null,1
29467,4e8f27a5f60a4dd4,70124,38,495,1615972162647,KVtagclick,29467,null,null,1
96067,41dba0353e74f1789a27b32277c5f262d46f64bc,26509,35828,null,1615981568332,KVtagclick,24700,106616,96067,1
45731,4970322176d08d6e31a69f71f8e378b3835476d2,26509,35828,35831,1615958726014,KVtagclick,40600,45731,null,1
96067,41dba0353e74f1789a27b32277c5f262d46f64bc,26509,35828,null,1615981768215,KVtagclick,24700,106616,96067,1
79532,4ed0557c5ae92624,92,14502,null,1615958393914,KVtagclick,79532,null,null,1
40747,866228041538513,8703,97,null,1615946533437,KVtagclick,40747,null,null,1
50550,41dba0353e74f1789a27b32277c5f262d46f64bc,26509,35828,null,1615981755331,KVtagclick,24700,106616,96067,1
149255,dbcabafa504a6e11,832,23004,null,1615938282711,KVtagclick,46552,41157,149255,1
96067,41dba0353e74f1789a27b32277c5f262d46f64bc,26509,35828,null,1615981494773,KVtagclick,24700,106616,96067,1
40222,bea54bdacaec1791,70124,38,null,1615949031964,KVtagclick,40222,null,null,1
46552,dbcabafa504a6e11,832,23004,null,1615938259975,KVtagclick,46552,41157,149255,1
41182,75f4da21d2f85df6,70124,246,null,1615992037321,KVtagclick,41182,null,null,1
40600,4970322176d08d6e31a69f71f8e378b3835476d2,26509,35828,35831,1615958705222,KVtagclick,40600,45731,null,1
5420,aa8b6e601140b982,8512,95,null,1616020604846,KVtagclick,5420,null,null,1
528,f59b2a07fdc6b626,8512,96,null,1616057411564,KVtagclick,528,null,null,1
24930,863563048645017,8512,168,null,1616044782310,KVtagclick,24930,null,null,1
155685,862766047549673,8512,95,null,1616061375463,KVtagclick,155685,null,null,1
5900,681932d38d5534e0e68105a2fc6474712b4031c1,8512,95,null,1616077769322,KVtagclick,5900,null,null,1
636,867661048167754,8512,96,null,1616033754568,KVtagclick,636,null,null,1
24750,de165360b9edf825,8512,95,null,1616034926319,KVtagclick,24750,null,null,1
155679,860477040281601,8512,95,null,1616016959539,KVtagclick,155679,null,null,1
155679,7d78244d849465ec,8512,95,null,1616037257785,KVtagclick,155679,null,null,1
5900,862950039453116,8512,95,null,1616072465962,KVtagclick,5961,5900,null,1
5961,862950039453116,8512,95,null,1616072445133,KVtagclick,5961,5900,null,1
150532,869701033532014,8512,95,null,1615443809126,KVtagclick,6555,150510,24867,1
24390,864751039630705,8512,203,null,1615459422997,KVtagclick,24386,24390,null,1
26372,864097038002250,8512,111,null,1615398179744,KVtagclick,26372,null,null,1
748,16cc0930777ad27b,26510,156,null,1615469368731,KVtagclick,748,null,null,1
150510,b7e943f1b9b8df150a60b741623e79bfeb28e042,8512,95,null,1615468533122,KVtagclick,150510,6131,null,1
150484,e2e05a0c5a187ba5a3f4bde2284fcf10f486bf22,8512,95,null,1615398908744,KVtagclick,150504,150484,null,1
155684,81cc87eb4e210ac7e2ed3d9d4cdfc812c6d74603,8512,95,null,1615463578672,KVtagclick,155684,null,null,1
6131,b7e943f1b9b8df150a60b741623e79bfeb28e042,8512,95,null,1615468594386,KVtagclick,150510,6131,null,1
150504,e2e05a0c5a187ba5a3f4bde2284fcf10f486bf22,8512,95,null,1615398883949,KVtagclick,150504,150484,null,1
24386,864751039630705,8512,203,null,1615459406574,KVtagclick,24386,24390,null,1
141077,0626cf8a2eadf4bb,70124,246,null,1615913818424,KVtagclick,141077,null,null,1
78529,8f4f6306f0ecbc94,143,145,29374,1615971551890,KVtagclick,86858,78529,5740,1
90327,b0dfeea8f3a2a4cc,70124,38,null,1615981574969,KVtagclick,26795,90327,67385,1
143611,864555041186352,70124,246,null,1615946304312,KVtagclick,143611,41182,32476,1
33512,c52e41942605983e,8703,14000,null,1615965306593,KVtagclick,48516,33512,33527,1
49551,865411032795588,92,35694,null,1615981650338,KVtagclick,49551,null,null,1
26795,b0dfeea8f3a2a4cc,70124,38,null,1615981584735,KVtagclick,26795,90327,67385,1
33522,c52e41942605983e,8703,14000,null,1615965304708,KVtagclick,48516,33512,33527,1
33527,c52e41942605983e,8703,14000,null,1615965294824,KVtagclick,48516,33512,33527,1
68417,74725aeee0987a11,8703,8546,null,1615980611418,KVtagclick,68417,null,null,1
64446,864555041186352,70124,246,null,1615946313437,KVtagclick,143611,41182,32476,1
141873,864555041186352,70124,246,null,1615946285106,KVtagclick,143611,41182,32476,1
48516,c52e41942605983e,8703,14000,null,1615965299511,KVtagclick,48516,33512,33527,1
67385,b0dfeea8f3a2a4cc,70124,38,null,1615981579159,KVtagclick,26795,90327,67385,1
51474,866201044992375,26508,8537,null,1615949283810,KVtagclick,51474,null,null,1
48529,c3273e22293f669c,92,14502,null,1615971789233,KVtagclick,48529,null,null,1
41182,864067043049554,70124,246,null,1615948295143,KVtagclick,41182,null,null,1
155685,3c242217e477c0662c119ef64466584583cbb67d,8512,95,null,1616036034227,KVtagclick,155685,null,null,1
155684,389f8255c3c5e842,8512,95,null,1616075438114,KVtagclick,155684,null,null,1
20080,95dbb2ce0d5fe4f7,26509,609,null,1616033141963,KVtagclick,20080,null,null,1
5725,89ca337f299107189c983f877c8fa1b9e524f884,8512,95,null,1616079741709,KVtagclick,5725,null,null,1
5725,6b438737c2f42f490cf0ea02ebc1459565ce1606,8512,95,null,1616038501840,KVtagclick,5725,155684,null,1
86858,72612a5f247652c4d0e06cc400f825354facd11d,8512,95,null,1616062579029,KVtagclick,86858,155679,null,1
121306,fd2ba02ad7b0a2cd649d460a0a2dc9e3860b78c0,26510,156,null,1616038744344,KVtagclick,121306,null,null,1
20098,103ce660b9065fd4b6a6536f2ab13539ae68e326,26509,609,null,1616032833688,KVtagclick,20098,null,null,1
5900,860859045894803,8512,95,null,1616004143274,KVtagclick,5900,null,null,1
5725,5039baeeef0d3349,8512,95,null,1616032362613,KVtagclick,5725,null,null,1
155684,d7cd9206770a005caa24377f54608762327f6ef4,8512,95,null,1616061709801,KVtagclick,155684,null,null,1
7930,7add19b2ea80f33ac868908fceb07db2686d728a,8512,203,null,1616067299398,KVtagclick,7930,null,null,1
155684,6b438737c2f42f490cf0ea02ebc1459565ce1606,8512,95,null,1616038445278,KVtagclick,5725,155684,null,1
155679,72612a5f247652c4d0e06cc400f825354facd11d,8512,95,null,1616062547929,KVtagclick,86858,155679,null,1
5961,867174039921759,8512,95,null,1615446507617,KVtagclick,5961,155679,null,1
5961,8fce8db9f54da211,8512,95,null,1615469157825,KVtagclick,5961,null,null,1
5725,01996deef492a8da,8512,95,null,1615415808966,KVtagclick,5725,null,null,1
5900,860469042391793,8512,95,null,1615434172915,KVtagclick,5900,null,null,1
5725,863892030890491,8512,95,null,1615427274896,KVtagclick,5725,null,null,1
155684,862320040067422,8512,95,null,1615448342923,KVtagclick,155684,null,null,1
5725,00670ad035bd6f74,8512,95,null,1615418204101,KVtagclick,5725,null,null,1
150527,bc62a9f84a7f27a0,8512,95,null,1615395537279,KVtagclick,150527,null,null,1
147176,a0000087630238,8512,96,null,1615431613973,KVtagclick,147176,null,null,1
6445,869838040014279,8512,95,null,1615434206636,KVtagclick,5725,6445,null,1
5725,869838040014279,8512,95,null,1615434378887,KVtagclick,5725,6445,null,1
155679,867174039921759,8512,95,null,1615446531318,KVtagclick,5961,155679,null,1
155684,862320040067422,8512,95,null,1615452902976,KVtagclick,155684,null,null,1
155623,ee934210c6895c6cd69b76ff85b7baf470c5a7ab,8512,96,null,1615449269730,KVtagclick,155623,636,null,1
150532,77d9690b30336032,8512,95,null,1615447118762,KVtagclick,150532,null,null,1
26372,4d8e8faa7e4c54ff,8512,111,null,1615474103911,KVtagclick,26372,null,null,1
150510,df6b9f102bd868c9ce6eb4170817c4b7fc6db07f,8512,95,null,1615423652256,KVtagclick,150510,null,null,1
24664,134064486c7cf0ca,26509,609,null,1615467320358,KVtagclick,24664,null,null,1
5420,3d6a1a2168ef50bf,8512,95,null,1615427024977,KVtagclick,127112,5420,86858,1
5961,a56fbb32dc8a00c0,8512,95,null,1615475456440,KVtagclick,5961,5725,6445,1
86858,3d6a1a2168ef50bf,8512,95,null,1615427105776,KVtagclick,127112,5420,86858,1
127112,3d6a1a2168ef50bf,8512,95,null,1615427011056,KVtagclick,127112,5420,86858,1
5961,a56fbb32dc8a00c0,8512,95,null,1615475793743,KVtagclick,5961,5725,6445,1
155679,860065048877601,8512,95,null,1615453494423,KVtagclick,150510,155679,null,1
155623,bd7c50c198992826,8512,96,null,1615420283254,KVtagclick,155623,null,null,1
5740,869614039603509,8512,95,null,1615419033750,KVtagclick,5740,null,null,1
636,ee934210c6895c6cd69b76ff85b7baf470c5a7ab,8512,96,null,1615449296104,KVtagclick,155623,636,null,1
155625,f5d749bb468be8e07be2eda88bf70dccd193494f,8512,96,null,1616052651269,KVtagclick,155625,null,null,1
24751,09c3d88c0c798a59078d9d65c3c7e81bbaaac8d0,8512,95,null,1616045736351,KVtagclick,24751,null,null,1
155686,868723033740844,8512,95,null,1616077869289,KVtagclick,150510,155686,null,1
6445,e444c67ff662aed1,8512,95,null,1616010556838,KVtagclick,6445,null,null,1
155685,821c674b3403110f91cfbe44d9171184db251944,8512,95,null,1616037010559,KVtagclick,150510,155685,null,1
155679,d4dab99666abfe03,8512,95,null,1616063848209,KVtagclick,155679,6445,null,1
5725,869704032676550,8512,95,null,1616050293610,KVtagclick,5725,null,null,1
6445,2800eccd4f0aec358b7b6508120e9022de7e3477,8512,95,null,1615998762759,KVtagclick,128688,6445,null,1
86858,10d22e9322302187,8512,95,null,1616069175388,KVtagclick,86858,null,null,1
150510,821c674b3403110f91cfbe44d9171184db251944,8512,95,null,1616037056924,KVtagclick,150510,155685,null,1
6445,d4dab99666abfe03,8512,95,null,1616063949381,KVtagclick,155679,6445,null,1
150510,868723033740844,8512,95,null,1616078188985,KVtagclick,150510,155686,null,1
155680,2c0df9c42adb23e9,8512,95,null,1616072703908,KVtagclick,155680,6893,null,1
128688,2800eccd4f0aec358b7b6508120e9022de7e3477,8512,95,null,1615998743771,KVtagclick,128688,6445,null,1
86858,869314037640153,8512,95,null,1616041713510,KVtagclick,86858,6131,155679,1
150532,c40fa5ec28b588f9d3d68b5ad54e07c605fb0052,8512,95,null,1616028995284,KVtagclick,150532,null,null,1
150510,5ba5f3924ad96056,8512,95,null,1616068711829,KVtagclick,150510,6445,null,1
25740,a2c572154ff59a35d9d16ea27f0098a1921fe0cb,70124,246,null,1615743171703,KVtagclick,25740,null,null,1
41182,dd46d59e153c0c00,70124,246,null,1615784471457,KVtagclick,41182,null,null,1
141873,979b9f4d339139f4,70124,246,null,1615810709141,KVtagclick,141873,142772,null,1
30904,ae5e7c33f058c03af33e3d6b860501ee532855a0,92,14455,null,1615799317245,KVtagclick,30904,null,null,1
41157,1f9df0c8ae350fa3,832,23004,null,1615764546979,KVtagclick,41157,null,null,1
142772,979b9f4d339139f4,70124,246,null,1615810767040,KVtagclick,141873,142772,null,1
41160,baf9cc8e0483a2331922d4d1f2a6b22fb87df410,832,23004,null,1615795323522,KVtagclick,41160,null,null,1
28753,b7b50b7e8691b3cd,26508,8855,null,1615756747398,KVtagclick,6131,27299,28753,1
46599,5fbdeaaf5decfbfe,8512,102,null,1615802327754,KVtagclick,46599,null,null,1
27299,b7b50b7e8691b3cd,26508,8855,null,1615756766899,KVtagclick,6131,27299,28753,1
3931,5d1d7884c3a5f6d1,26510,8445,null,1615812727244,KVtagclick,3931,52452,null,1
46335,3edc899adbbf061ec5fe905555edacf36b7d4c6c,8512,102,null,1615971087604,KVtagclick,46335,null,null,1
41182,863791044767614,70124,246,null,1615968822726,KVtagclick,41182,null,null,1
156035,2a0480853fadb065,8512,8523,null,1615911435933,KVtagclick,156035,null,null,1
24796,a00000648eae52,8512,168,null,1615965945203,KVtagclick,24796,null,null,1
125244,e04bee8a88ed669e,26510,22431,29126,1615977479132,KVtagclick,125244,null,null,1
33554,698be59c22bc4de5,8512,8523,null,1615963260170,KVtagclick,33554,null,null,1
41155,a8b7b6b8805f5993,832,23004,null,1615944699438,KVtagclick,41155,null,null,1
41155,a8b7b6b8805f5993,832,23004,null,1615945912271,KVtagclick,41155,null,null,1
69395,860201042164429,26508,8537,373,1615966105531,KVtagclick,69395,48457,null,1
110586,1e9b647cb5c53fad06023ec52c0bb38b71e141b3,26509,609,null,1616042324840,KVtagclick,110586,null,null,1
